app,text,rating,date,scraped_at
blibli,pengiriman lelet tidak ada pengiriman yang di prioritaskan untuk barang mahal! antara barang mahal dan murah pengirimanya sama aja! nunggu numpuk dulu baru di kirim! beda jauh ama toko sebelah klk barang mahal yang di beli otomatis bisa pilih kirim kecepatanya! lha ini atara barang mahal atau ga sama aja lelet banget,2,25 April 2026,2026-05-03 17:16:55
blibli,"Beberapa waktu lalu Beli barang, paket diantar ke alamat yang salah oleh kurir. Tidak ada kabar dan jalur informasi yang dapat memberikan keterangan dan penjelasan. Foto paket tidak jelas sehingga tidak tahu perusahaan kurir apa yg dipakai. Tapi syukur Alhamdulillah barang tidak hilang, dan sekitar 2 hari paket dinyatakan status terkirim, kurir menghubungi lewat pesan messenger. Semoga bisa diperbaiki lagi layanan komunikasi instan antar customer dengan penyedia layanan.",3,16 April 2026,2026-05-03 17:16:55
blibli,"ya barang yang dijual disini semuanya asli, tapi untuk transaksi click & collect kalo toko terdekat stock nggak ada akan tetap seperti pakai jasa pengiriman diluar kota. kalo buka aplikasi juga hape terasa panas sama kayak buka shope. sejauh ini tokped yang stabil",2,23 April 2026,2026-05-03 17:16:55
blibli,"baru pertama kali pakai aplikasi ini, dan baru pertama membeli barang , dari tanggal 21 sampai tanggal 24 status di apk masih di pick kurir, waw sekali saya pesan barang di apk lain di hari yang sama tgl 23 sudah sampai 🙈 ini sampai tanggal 24 status masih sama, padahal jarak kota tujuan dan kota pengirim cuma sebelahan yang harusnya estimasi paling lama 3 hari , ini sampe sekarang tidak ada perubahan status di apk ya , mau chat akun blibli susahnya minta ampun antrean ya panjang sekali",1,24 April 2026,2026-05-03 17:16:55
blibli,"Tidak bisa masuk atau daftar di aplikasi, halaman dialihkan ke web, lalu kadang halaman tidak muncul, blank page baik sebelum atau sesudah masukkan kode verifikasi, dan aplikasi ini tidak bisa multi taks, setiap habis di minimize selalu kembali ke halaman awal.. bad app..",1,19 April 2026,2026-05-03 17:16:55
blibli,"kecewa belanja di BliBli, niatnya mau cepat pakai go instan ternyata malah SANGAT LAMA PROSESnya berbelit2, tiba2 gagal kirim, kurir udh balikin barangnya ke seller dan seller udh terima, namun sistem blibli masih tetap gantung bahwa barang masih dalam proses pengiriman berjam jam dan dimenu pembeli, driver, baik seller juga seakan2 freeze ga bisa diapa2in ga ada menu batalkan dan ga ada menu lanjutkan. ini betul2 kuno skali BLIBLI sumpah kecewa pakai blibli, lebih baik dan lebih cepat TOKOPEDIA",1,20 April 2026,2026-05-03 17:16:56
blibli,"bagus sih, cuma pembeli seharusnya bisa milih expedisi sendiri. JNE di daerah Blitar itu prosesnya lama. Barang sudah sampai tapi Kurir ngirim paket ke pelanggan pasti di estimasi terakhir. J&T malah lebih bagus dari JNE",5,18 April 2026,2026-05-03 17:16:56
blibli,dibatalkan tiba tiba sudah payment sudah berhasil tp dibatalkan sepihak dgn alasan yg sangat konyol melewati waktu pembayaran klo lewat waktu ya gak bisa di bayar saat checkout langsung payment saat itu jg anneeeehhhhh,1,16 April 2026,2026-05-03 17:16:56
blibli,"Saya co item di tgl 5/4/26 dengan keterangan di awal estimasi diterima tanggal 6-9 Apr 2026. Item tersebut memang maks harus saya terima tanggal 10, karena 11 Apr sudah hrs dipakai. Setelah co, keterangan berubah maks penerimaan item tanggal 11 Apr dan baru nampak kalau toko pada tanggal 5 libur. Saya chat toko besoknya tdk dibalas padahal toko online terus. Sya chat blibicare tpi katanya pembatalan tdk bisa dilakukan krn tergolong normal. Dan skrg app error karna ada aktifitas tdk normal wkwk",1,6 April 2026,2026-05-03 17:16:56
blibli,"saya mau bayar pakai qris tapi ga bisa ganti lah ke va dan transaksi berhasil, tapi ternyata pesanan dibatalkan laporlah ke cs awalnya bilang dana ga masuk ke blibli saya sudah tanya bank lalu diberi bukti uang sudah masuk, lalu alasan lagi nominal tidak sesuai nomor pesanan katanya uang saya masuk ke pesanan akun lain pdahal saya ga punya akun lain di tanya akun siapa alasan privasi, KALO EMANG GAMAU BALIKIN UANG NYA BILANG GA USAH MUTER"" MINTA BUKTI INI ITU!",1,4 April 2026,2026-05-03 17:16:56
blibli,"pengiriman nya lamaa banget sampe berhari hari, pelayanann nyaa ga gercep lama banget, customer service nya juga Lola lama bngt bener bener di bikin kecewa banget jangan ada yang pesen di sini deh!!!!",1,24 April 2026,2026-05-03 17:16:56
blibli,"Saya mau login akun Blibli milik saya trus kirim otp via wa, sudah saya ketik otp nya , eh muncul lagi kirim otp via email. Kok skrg jadi ribet gini buka Akun Blibli saya?. kenapa sekarang di persulit? Jadi saya tidak boleh belanja di Blibli lagi nihh? Nggak masalah sihh? Masih ada Shoppe, Tokopedia & Tik Tok Shop kok. Ini sama aja mempersulit customer nya? Lama2 Blibli akan di tinggal customer nya jika mempersulit seperti ini",1,28 April 2026,2026-05-03 17:16:56
blibli,"mau nanya expired produk yg mau dibeli tapi nunggu antrian 80 menit baru bisa terhubung dgn customer care, sumpahhhh masa aplikasinya gini banget.. minimal bisa leave massage terhubung ke seller yg fast respon.. yg awalnya niat beli akhirnya ga jadi krn masalah kayak gini, akhirnya lebih memilih belanja di e-commerce lain yg langsung bisa terhubung ke seller jadi lebih satset",1,5 Maret 2026,2026-05-03 17:16:56
blibli,sudah sering transaksi di blibli terutama hypermart tp banyak brg yg tdk dikirim. pas proses refund tdk di respon dan blibli nya sendiri di chat nunggu antrian lama bgt dan ujung2nya gk terlayani. proses refundnya sangat lama dan ribet pdhl sudah mengikuti step2nya. seller bener2 untung banyak dari barang yg tdk terkirim karena brg sudah dibayar dlu. mau ikhlas tapi cukup belanja disini. tdk seperti market place lainnya yg gercep bgt. kecewa berat belanja disini.,1,5 April 2026,2026-05-03 17:16:56
blibli,"Sudah sangat bagus min aplikasinya ,sudah Upgrade,keren, kalau bisa tambahin fitur upload Video untuk para affiliator agar bisa upload Video Jualan min, biar affiliator ada wadah buat promosi produk dari bliblinya min, itu aja saran dari aku sih , ikuti perkembangan zaman ya min, sukses selalu",5,12 April 2026,2026-05-03 17:16:56
blibli,"Hati2 olshop ini mulai bermain dengan modus menawarkan harga diskon gila-gilaan, lantas secara sepihak membatalkan transaksi. Tujuannya jelas menahan dana customer di bliblipay. Endingnya, penarikan dana ke rekening yg kita minta tak kunjung berhasil. WASPADALAH! RIP blibli, maaf saya harus jujur soal ini.",1,11 April 2026,2026-05-03 17:16:56
blibli,"baru jualan langsung di nonaktifkan, dengan indikasi pelanggaran dll karna ada kesamaan nama, mana lemot pengurusannya. lagi butuh"" nya malah digiinin sma pihak nyaa hadehh tidak speerti akun di olshop lain yg malah mempermudah",1,10 April 2026,2026-05-03 17:16:56
