app,text,rating,date,scraped_at
shopee,"Dari awal Januari 2026 ini paket saya (terutama yg COD) selalu stuck distatus ""kurir AKAN ditugaskan"" tapi berakhir malah dikembalikan ke penjual, ada yg sampai pun waktunya bener-bener ga ngotak, datang setelah hampir 1 bulan setelah pemesanan dan sudah komplain ke cs tapi masih begitu terus. Dari awal belanja online baru sekarang dapet pengalaman yg buruk bgt, kapok belanja di Shopee kalo gini terus.",1,27 April 2026,2026-05-02 23:13:21
shopee,"Izin kasih saran, bagian ulasan produk ketika kasih penilaian beserta foto/video produk mohon bisa tersimpan otomatis apabila terjadi aplikasi tidak sengaja keluar atau hp tiba-tiba restart sendiri agar tidak mengisi kembali deskripsi penilaian & foto/video produk. Jika harus mengisi kembali deskripsi penilaian & video/foto produk, rasanya jadi malas yang akhirnya berujung gk kasih penilaian, padahal itu juga dibutuhkan sama pihak penjualnya agar dana bisa dicairkan oleh pihak Shopee. Terimakasi",3,28 April 2026,2026-05-02 23:13:21
shopee,"Apk nya bener-bener bagus dan berguna! kebetulan saya pengguna shopee vip jadi banyak sekali voucher yang bisa saya gunakan untuk berbelanja, untuk berlangganan juga sangat murah sekali, pokoknya best!. Tapi, menurut saya akan lebih bagus lagi jika tampilan nya bisa diumah ke mode dark, agar ketika masuk ke apknya tidak keterangan dengan warna putihnya hehe, itu bagi saya yaa! terimakasih!",5,25 April 2026,2026-05-02 23:13:21
shopee,"sedikit masukan buat tim shopee,, 1 = semenjak ada video, pembeli jadi resah, banyak penjual yang menampilkan video barang yang tidak sesuai dengan etalsenya, (menampilkan versi barang ori/tipe paling bagus/paling mahal, setelah di klik /di beli ternyata barang kw/tipe rendah/paling murah) , 2 , = tidak ada filter ulasan terbaru, susah untuk melihat stok barang terbaru yang di kirim penjual/ulasan terbaru yang di tulis pembeli,",5,26 April 2026,2026-05-02 23:13:21
shopee,"Semakin sering dibuat belanja semakin dipersulit, begitu juga akun toko, baru aja buka toko, ngurus gratis ongkir extra gampang memang tinggal isi form, lalu nunggu sesuai tgl jatuh tempo, nyatanya sampai skrg blm ada jawaban sama sekali dari cs. akun utk beli pun sering tiba2 batal selalu alasan aktifitas tdk wajar. aanehhh aneehh.. aplikasi nya sendiri yg ksh vocer gede2, giliran dipake selalu balsis.",1,15 April 2026,2026-05-02 23:13:21
shopee,"Terkhusus buat shopee..tolong diperhatikan juga hub daerah masing²,kadang kurir sengaja tidak mengantarkan pesanan ke alamat penerima,dan sering mengkambing hitamkan pembeli,alasan ditolak pembeli padahal pesanan tidak diantar,alasan alamat tidak lengakap! sangat tidak profesional dalam bekerja! untuk hub dan kurir,kalau seandainya tidak mau antar pesanan,ngapain kerja kan??? tolong lah pihak shopee ditindak lanjuti hal² seperti ini demi kenyamanan pembeli.maaf saya kecewa🙏",1,24 April 2026,2026-05-02 23:13:21
shopee,"MP paling enak pengiriman cepat walaupun freeongkir ini dulu ya, SEKARANG parah HABIS ekspedisi SPXnya bisa berhari2 dan muter2 komplen berkali2 di dengar saat itu tapi pihak ekspedisi tetep ga berubah !!! jika tidak ada SPO yang jelas dan solusi untuk pengiriman ke alamat, maaf gue Uninstall!!! Terima Kasih!!!!",1,17 April 2026,2026-05-02 23:13:21
shopee,"Bagus banget, hampir semua barang real pict dan harganya bersaing. Pembatalan, retur barang serta dana juga jelas dan cepat. intinya tenang belanja di Shopee, cuma sayangnya reward voucher/poin terlalu kecil dan sedikit, tambahin lah Min. oh iya sedikit catatan, cara pembayaran juga tolong tambahkan lagi Min, OVO dan Qris biar lebih mudah dan pilihan lebih banyak.",5,25 April 2026,2026-05-02 23:13:21
shopee,"pesanan jadi lambat,dan ya kadang juga kurir sering batalin tanpa konfirmasi katanya ditolak pembeli padahal paket sangat ditunggu malah dibatalkan tanpa konfirmasi apapun, trus tiba² map nya juga gak sesuai padahal dari dulu alamat nya tetap sama gak diganti, malah sekarang sering nyasar ke daerah lain tolong di perbaiki lah kendala nya",2,20 April 2026,2026-05-02 23:13:21
shopee,"Tolong ya. Perbaiki sistem update lokasi/alamat di aplikasi ini. Saya mengalami kejadian di mana alamat pengantaran tiba-tiba berubah sendiri tanpa konfirmasi. Dampaknya sangat merugikan. Waktu pengiriman jadi jauh lebih lama dan kasian kurirnya harus bolak-balik karena titik GPS yang tidak akurat. Jujur, sangat mengecewakan untuk aplikasi sebesar ini. Semoga ada update terbaru untuk masalah bug alamat ini.",2,24 April 2026,2026-05-02 23:13:21
shopee,"saya kasih 5 star biar di baca , Tolong dah sistem nya di benarin lagi , terutama di bagian pengiriman untuk notif bagian lacak pesanan , contohnya pesanan saya stuck di tgl 3 sampai tgl 30 tidak ada notif lagi , hampir 1 bulan baru sampai pesanan saya , tiba tiba tgl 2 pesana anda sedang dikirim ( notif apaan itu tidak jelas ) , pengiriman juga lama banget masa bisa sampai 1 bulan , ya walaupun tidak semua pembelian sampai 1 bulan , cuma ada beberapa pesanan saya 1 bulan baru sampai",5,20 April 2026,2026-05-02 23:13:21
